basilisk_rules,file,category,status,caught,missed,false_positives
aliases_implicit|assignment_compatibility,aliases_explicit.py,aliases,FAIL,21,0,2
aliases_implicit|annotations_forward_refs|generics_defaults_specialization,aliases_implicit.py,aliases,PASS,22,0,0
aliases_implicit,aliases_newtype.py,aliases,FAIL,1,13,1
assignment_compatibility,aliases_recursive.py,aliases,FAIL,5,6,2
aliases_type_statement|generics_syntax_scoping,aliases_type_statement.py,aliases,PASS,24,0,0
,aliases_typealiastype.py,aliases,FAIL,0,22,0
,aliases_variance.py,aliases,FAIL,0,4,0
,annotations_coroutines.py,annotations,PASS,0,0,0
annotations_forward_refs,annotations_forward_refs.py,annotations,PASS,19,0,0
annotations_generators,annotations_generators.py,annotations,FAIL,8,2,1
,annotations_methods.py,annotations,PASS,0,0,0
aliases_implicit|annotations_forward_refs|annotations_typeexpr,annotations_typeexpr.py,annotations,PASS,15,0,0
assignment_compatibility|callables_protocol,callables_annotation.py,callables,FAIL,1,15,2
callables_protocol_2|calls_argument_type,callables_kwargs.py,callables,FAIL,5,7,3
annotations_forward_refs|assignment_compatibility|callables_protocol|callables_protocol_2|overloads_consistency,callables_protocol.py,callables,FAIL,14,3,23
annotations_forward_refs|assignment_compatibility|callables_protocol|overloads_consistency,callables_subtyping.py,callables,FAIL,30,2,3
,classes_classvar.py,classes,FAIL,0,17,0
overloads_consistency,classes_override.py,classes,FAIL,0,5,3
constructors_call_init|overloads_consistency,constructors_call_init.py,constructors,FAIL,1,4,2
calls_argument_count,constructors_call_metaclass.py,constructors,PASS,2,0,0
,constructors_call_new.py,constructors,FAIL,0,2,0
constructors_call_type,constructors_call_type.py,constructors,PASS,8,0,0
annotations_forward_refs|overloads_consistency,constructors_callable.py,constructors,FAIL,0,12,2
,constructors_consistency.py,constructors,PASS,0,0,0
overloads_consistency,dataclasses_descriptors.py,dataclasses,FAIL,0,0,2
qualifiers_final_annotation_2,dataclasses_final.py,dataclasses,FAIL,0,5,1
classes_override_2|dataclasses_frozen,dataclasses_frozen.py,dataclasses,FAIL,2,0,1
dataclasses_hash,dataclasses_hash.py,dataclasses,FAIL,2,2,0
classes_override_2,dataclasses_inheritance.py,dataclasses,PASS,2,0,0
dataclasses_kwonly,dataclasses_kwonly.py,dataclasses,FAIL,2,1,0
dataclasses_match_args,dataclasses_match_args.py,dataclasses,PASS,1,0,0
,dataclasses_order.py,dataclasses,FAIL,0,1,0
dataclasses_postinit,dataclasses_postinit.py,dataclasses,FAIL,3,1,0
dataclasses_slots,dataclasses_slots.py,dataclasses,FAIL,1,3,0
dataclasses_frozen,dataclasses_transform_class.py,dataclasses,FAIL,2,4,0
assignment_compatibility|overloads_consistency,dataclasses_transform_converter.py,dataclasses,FAIL,0,9,3
constructors_call_init|overloads_consistency,dataclasses_transform_field.py,dataclasses,FAIL,2,0,3
assignment_compatibility|constructors_call_init|dataclasses_frozen,dataclasses_transform_func.py,dataclasses,FAIL,4,2,4
