# typeshed third-party stub distribution map — GENERATED, do not edit by hand.
# Source: python/typeshed `stubs/<DIST>/` directories (main branch).
# Each line maps a Python *import root* to the PyPI *distribution* that
# publishes its stubs (always `types-<DIST>`). Used by the BSK-E0152 quick fix
# to offer a real `uv add --dev <dist>` and to suppress the fix when no
# stub distribution exists. Regenerate from typeshed's git tree.
# Format: <import_root>\t<distribution>
Jetson	types-Jetson.GPIO
win32pdh	types-pywin32
win32pdhquery	types-pywin32
win32pipe	types-pywin32
win32print	types-pywin32
win32process	types-pywin32
win32profile	types-pywin32
win32ras	types-pywin32
win32security	types-pywin32
win32service	types-pywin32
win32serviceutil	types-pywin32
win32timezone	types-pywin32
win32trace	types-pywin32
win32transaction	types-pywin32
win32ts	types-pywin32
win32ui	types-pywin32
win32uiole	types-pywin32
win32verstamp	types-pywin32
win32wnet	types-pywin32
winerror	types-pywin32
winioctlcon	types-pywin32
winnt	types-pywin32
winperf	types-pywin32
winxpgui	types-pywin32
winxptheme	types-pywin32
workalendar	types-workalendar
wtforms	types-WTForms
wurlitzer	types-wurlitzer
www_authenticate	types-www-authenticate
xdg	types-pyxdg
xdgenvpy	types-xdgenvpy
xlrd	types-xlrd
xmldiff	types-xmldiff
xmltodict	types-xmltodict
yaml	types-PyYAML
yt_dlp	types-yt-dlp
zstd	types-zstd
zxcvbn	types-zxcvbn
